periodo,codigo_serie,perfil,imp_hist
2025-01,"AGUJA DESCARTABLE 25X8  21GX1""",OES,456274.5
2025-01,"AGUJA DESCARTABLE 25X8  21GX1""",SAN,524540.0
2025-01,"AGUJA DESCARTABLE 25X8  21GX1""(DISC)",IPR,25755.87
2025-01,"AGUJA DESCARTABLE 25X8 21GX1""",COM,44083.560000000005
2025-01,"AGUJA DESCARTABLE 25X8 21GX1""",IPR,71723.0
2025-01,"AGUJA DESCARTABLE 25X8 21GX1""",IPU,243396.0
2025-01,"AGUJA DESCARTABLE 25X8 21GX1""",OES,53802.0
2025-01,"AGUJA DESCARTABLE 25X8 21GX1""",SAN,134100.0
2025-01,"AGUJA DESCARTABLE 30X12 18GX1.1/4""",FAR,118.06999999999994
2025-01,"AGUJA DESCARTABLE 30X12 18GX1.1/4""",OES,279504.0
2025-01,"AGUJA DESCARTABLE 40X12 18GX1.1/2""",DRO,911699.71
2025-01,"AGUJA DESCARTABLE 40X12 18GX1.1/2""",FAR,130773.0
2025-01,"AGUJA DESCARTABLE 40X12 18GX1.1/2""",IPR,1196409.45
2025-01,"AGUJA DESCARTABLE 40X12 18GX1.1/2""",SAN,7310.0
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""",COM,55999.35
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""",DRO,1682117.06
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""",FAR,964453.854
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""",IPR,742273.06
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""",IPU,1404218.955
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""",OES,59008.0
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""",SAN,5480.0
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""(DISC)",IPR,10470.12
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""(DISC)",IPU,18666.45
2025-01,"AGUJA DESCARTABLE 40X8  21GX1.1/2""(DISC)",OES,28913.92
2025-01,AGUJA DESCARTABLE 40X8 21G X1 1/2,COM,43555.05
2025-01,"AGUJA DESCARTABLE 50X12 18GX2""",FAR,7909.0199999999995
2025-01,"AGUJA DESCARTABLE 50X8  21GX2""",COM,83718.6
2025-01,"AGUJA DESCARTABLE 50X8  21GX2""",FAR,132298.686
2025-01,"AGUJA DESCARTABLE 50X8  21GX2""",IPR,11697.0
2025-01,"AGUJA DESCARTABLE 50X8  21GX2""",OES,77396.5
2025-01,AGUJA DESCARTABLE 50X8  21GX2(DISC),IPR,9188.0
2025-01,AGUJA DESCARTABLE 50X8 21G X2,COM,9908.27
2025-01,AGUJA DESCARTABLE 50X8 21G X2,DRO,13700.0
2025-01,AGUJA DESCARTABLE 50X8 21G X2,IPR,85723.06
2025-01,AGUJA DESCARTABLE ULTRA-FINE 31GX5MM,FAR,7894570.4311
2025-01,AGUJA DESCARTABLE ULTRA-FINE 31GX5MM,SIN,28233.921
2025-01,AGUJA DESCARTABLE ULTRA-FINE 31GX8MM,DRO,42766.56
2025-01,AGUJA DESCARTABLE ULTRA-FINE 31GX8MM,FAR,5870773.7031000005
2025-01,AGUJA DESCARTABLE ULTRA-FINE 31GX8MM,SIN,28233.9205
2025-01,AGUJA DESCARTABLE ULTRA-FINE 32GX4MM,COM,22267.4615
2025-01,AGUJA DESCARTABLE ULTRA-FINE 32GX4MM,DRO,103345.44
2025-01,AGUJA DESCARTABLE ULTRA-FINE 32GX4MM,FAR,23076260.292
2025-01,AGUJA DESCARTABLE ULTRA-FINE 32GX4MM,OSP,124743.96
2025-01,AGUJA DESCARTABLE ULTRA-FINE 32GX4MM,SIN,649380.1685
2025-01,"AGUJA EPIDURAL TUOHY  18GX3.1/2""",IPU,158894.0
2025-01,AGUJA EPIDURAL TUOHY 18G,OES,3429.8
2025-01,"AGUJA ESPINAL PTA LAPIZ C/INTR 25GX3.1/2""",DRO,37471.8
