codigo_serie;nivel_agregacion;perfil;Neg;Subneg;Familia;submodelo;clasificacion_serie;motivo;pos_12;zero_12;pos_rate_12;racha_zeros_final;periodo_eval_ini;periodo_eval_fin;periodo_panel_max
APOSITO HEMOSTATICO ABSORBIBLE 5X7 CM;FAMILIA;OES;4;1;APOSITO HEMOSTATICO ABSORBIBLE 5X7 CM;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;6;2025-01;2025-12;2025-12
APOSITO HIDRO EXTRA DELGADO 20X20 RESTORE COD 9925(DISC);FAMILIA;DRO;4;7;APOSITO HIDRO EXTRA DELGADO 20X20 RESTORE COD 9925(DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;16;2025-01;2025-12;2025-12
APOSITO HIDRO EXTRA DELGADO 20X20 RESTORE COD 9925(DISC);FAMILIA;IPR;4;7;APOSITO HIDRO EXTRA DELGADO 20X20 RESTORE COD 9925(DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;13;2025-01;2025-12;2025-12
APOSITO HIDRO EXTRA DELGADO 20X20 RESTORE COD 9925(DISC);FAMILIA;OES;4;7;APOSITO HIDRO EXTRA DELGADO 20X20 RESTORE COD 9925(DISC);SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;13;2025-01;2025-12;2025-12
APOSITO HIDROC DORSO ESPUMA 10X10 RESTORE COD 9930 (DISC);FAMILIA;IPR;4;7;APOSITO HIDROC DORSO ESPUMA 10X10 RESTORE COD 9930 (DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
APOSITO HIDROC DORSO ESPUMA 10X10 RESTORE COD 9930 (DISC);FAMILIA;OES;4;7;APOSITO HIDROC DORSO ESPUMA 10X10 RESTORE COD 9930 (DISC);SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;22;2025-01;2025-12;2025-12
APOSITO HIDROCOL/ALGINAT 10X10CM ULTECPRO (9801);FAMILIA;COM;15;9;APOSITO HIDROCOL/ALGINAT 10X10CM ULTECPRO (9801);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
APOSITO HIDROCOL/ALGINAT 10X10CM ULTECPRO (9801);FAMILIA;DPM;15;9;APOSITO HIDROCOL/ALGINAT 10X10CM ULTECPRO (9801);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;16;2025-01;2025-12;2025-12
APOSITO HIDROCOL/ALGINAT 10X10CM ULTECPRO (9801);FAMILIA;IPU;15;9;APOSITO HIDROCOL/ALGINAT 10X10CM ULTECPRO (9801);SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;18;2025-01;2025-12;2025-12
APOSITO HIDROCOL/ALGINAT 15X15CM ULTECPRO (9802);FAMILIA;DRO;15;9;APOSITO HIDROCOL/ALGINAT 15X15CM ULTECPRO (9802);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
